Reformatted,Indigenous American,Asian or Pacific Islander,Black or African American,White
15-24,13362,18442,159519,505156
25-34,20030,26835,233009,763169
35-44,28923,43733,376329,1334364
45-54,46247,88197,754079,2981159
55-64,61783,149881,1171811,5501564
65-74,67389,216164,1325210,8425525
75-84,63546,302372,1383413,12973891
85+,44570,332448,1183362,15418620
